Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date
TXN_1000555,TEA,1,1.5,1.5,CREDIT CARD,IN-STORE,2023-10-19
TXN_1002457,COOKIE,5,1.0,5.0,DIGITAL WALLET,TAKEAWAY,2023-09-29
TXN_1004184,SMOOTHIE,1,4.0,4.0,CREDIT CARD,IN-STORE,2023-05-18
TXN_1004563,TEA,5,1.5,7.5,CREDIT CARD,IN-STORE,2023-10-28
TXN_1005331,COFFEE,1,2.0,2.0,DIGITAL WALLET,TAKEAWAY,2023-11-04
TXN_1006942,SALAD,1,5.0,5.0,CREDIT CARD,IN-STORE,2023-11-30
TXN_1007347,SALAD,4,5.0,20.0,DIGITAL WALLET,IN-STORE,2023-08-28
TXN_1009421,COOKIE,4,1.0,4.0,CASH,TAKEAWAY,2023-02-21
TXN_1011236,CAKE,1,3.0,3.0,CASH,IN-STORE,2023-02-08
TXN_1015883,COOKIE,4,1.0,4.0,CASH,IN-STORE,2023-10-16
TXN_1020478,COFFEE,1,2.0,2.0,DIGITAL WALLET,TAKEAWAY,2023-03-09
TXN_1022523,SALAD,4,5.0,20.0,CASH,IN-STORE,2023-11-25
TXN_1026827,COOKIE,4,1.0,4.0,DIGITAL WALLET,IN-STORE,2023-01-02
TXN_1035504,SMOOTHIE,2,4.0,8.0,DIGITAL WALLET,TAKEAWAY,2023-03-30
TXN_1040764,COFFEE,3,2.0,6.0,CASH,TAKEAWAY,2023-07-27
TXN_1045022,SANDWICH,4,4.0,16.0,CREDIT CARD,TAKEAWAY,2023-10-13
TXN_1046394,SMOOTHIE,1,4.0,4.0,CASH,IN-STORE,2023-04-29
TXN_1047450,COFFEE,2,2.0,4.0,CASH,IN-STORE,2023-11-19
TXN_1048284,SALAD,2,5.0,10.0,CASH,IN-STORE,2023-08-19
TXN_1050083,CAKE,5,3.0,15.0,CREDIT CARD,TAKEAWAY,2023-06-28
TXN_1057760,JUICE,4,3.0,12.0,CREDIT CARD,TAKEAWAY,2023-02-20
TXN_1058466,COOKIE,3,1.0,3.0,DIGITAL WALLET,TAKEAWAY,2023-12-07
TXN_1058957,JUICE,2,3.0,6.0,CASH,IN-STORE,2023-03-21
TXN_1064565,JUICE,4,3.0,12.0,DIGITAL WALLET,IN-STORE,2023-03-14
TXN_1065721,SANDWICH,4,4.0,16.0,CASH,TAKEAWAY,2023-12-06
TXN_1072232,SANDWICH,1,4.0,4.0,DIGITAL WALLET,IN-STORE,2023-01-07
TXN_1079241,JUICE,3,3.0,9.0,DIGITAL WALLET,TAKEAWAY,2023-07-16
TXN_1080432,SALAD,2,5.0,10.0,CREDIT CARD,IN-STORE,2023-04-29
TXN_1082421,SALAD,1,5.0,5.0,DIGITAL WALLET,IN-STORE,2023-12-19
TXN_1084010,SMOOTHIE,2,4.0,8.0,CREDIT CARD,IN-STORE,2023-08-11
TXN_1084222,COFFEE,4,2.0,8.0,DIGITAL WALLET,IN-STORE,2023-06-03
TXN_1088497,SANDWICH,1,4.0,4.0,DIGITAL WALLET,TAKEAWAY,2023-07-05
TXN_1091115,SANDWICH,5,4.0,20.0,CASH,TAKEAWAY,2023-11-04
TXN_1097334,COFFEE,2,2.0,4.0,CREDIT CARD,TAKEAWAY,2023-03-21
TXN_1105589,COFFEE,5,2.0,10.0,CASH,TAKEAWAY,2023-07-04
TXN_1108663,JUICE,3,3.0,9.0,CASH,TAKEAWAY,2023-08-16
TXN_1116119,SMOOTHIE,4,4.0,16.0,DIGITAL WALLET,IN-STORE,2023-08-07
TXN_1121833,COFFEE,4,2.0,8.0,CREDIT CARD,IN-STORE,2023-03-16
TXN_1123138,SALAD,1,5.0,5.0,CASH,IN-STORE,2023-02-10
TXN_1124753,SALAD,4,5.0,20.0,DIGITAL WALLET,IN-STORE,2023-10-19
TXN_1128577,SANDWICH,1,4.0,4.0,DIGITAL WALLET,IN-STORE,2023-11-23
TXN_1130142,COOKIE,1,1.0,1.0,CREDIT CARD,IN-STORE,2023-03-13
TXN_1130191,SMOOTHIE,2,4.0,8.0,CASH,IN-STORE,2023-04-06
TXN_1133945,SMOOTHIE,2,4.0,8.0,DIGITAL WALLET,IN-STORE,2023-10-23
TXN_1142233,TEA,5,1.5,7.5,DIGITAL WALLET,TAKEAWAY,2023-09-01
TXN_1145592,JUICE,1,3.0,3.0,CREDIT CARD,TAKEAWAY,2023-09-11
TXN_1148874,COOKIE,1,1.0,1.0,CREDIT CARD,IN-STORE,2023-09-18
TXN_1150033,JUICE,5,3.0,15.0,CASH,IN-STORE,2023-04-18
TXN_1151605,COFFEE,1,2.0,2.0,DIGITAL WALLET,TAKEAWAY,2023-05-02
TXN_1153869,SMOOTHIE,5,4.0,20.0,CREDIT CARD,TAKEAWAY,2023-11-03
TXN_1154979,COFFEE,3,2.0,6.0,CREDIT CARD,IN-STORE,2023-12-11
TXN_1157817,SMOOTHIE,1,4.0,4.0,DIGITAL WALLET,IN-STORE,2023-04-25
TXN_1161606,SANDWICH,5,4.0,20.0,CREDIT CARD,TAKEAWAY,2023-09-20
TXN_1165779,COOKIE,4,1.0,4.0,DIGITAL WALLET,TAKEAWAY,2023-06-30
TXN_1169615,SMOOTHIE,5,4.0,20.0,DIGITAL WALLET,IN-STORE,2023-03-16
TXN_1170198,TEA,4,1.5,6.0,CREDIT CARD,IN-STORE,2023-02-09
TXN_1172121,COFFEE,5,2.0,10.0,CASH,TAKEAWAY,2023-08-26
TXN_1173155,COFFEE,1,2.0,2.0,CASH,IN-STORE,2023-03-14
TXN_1180397,SMOOTHIE,3,4.0,12.0,CREDIT CARD,TAKEAWAY,2023-04-05
TXN_1183995,SALAD,5,5.0,25.0,DIGITAL WALLET,TAKEAWAY,2023-03-28
TXN_1186221,SALAD,4,5.0,20.0,CASH,TAKEAWAY,2023-04-21
TXN_1190402,CAKE,1,3.0,3.0,CREDIT CARD,TAKEAWAY,2023-12-01
TXN_1192970,COFFEE,2,2.0,4.0,DIGITAL WALLET,TAKEAWAY,2023-06-17
TXN_1193221,TEA,3,1.5,4.5,CREDIT CARD,IN-STORE,2023-10-21
TXN_1196223,JUICE,3,3.0,9.0,DIGITAL WALLET,IN-STORE,2023-10-14
TXN_1196324,TEA,4,1.5,6.0,CREDIT CARD,IN-STORE,2023-09-26
TXN_1208926,COOKIE,4,1.0,4.0,CREDIT CARD,IN-STORE,2023-12-07
TXN_1209852,COOKIE,2,1.0,2.0,CREDIT CARD,IN-STORE,2023-11-18
TXN_1213938,SALAD,5,5.0,25.0,DIGITAL WALLET,TAKEAWAY,2023-07-06
TXN_1216051,CAKE,4,3.0,12.0,DIGITAL WALLET,TAKEAWAY,2023-10-28
TXN_1217959,JUICE,2,3.0,6.0,DIGITAL WALLET,TAKEAWAY,2023-07-28
TXN_1220061,SANDWICH,3,4.0,12.0,DIGITAL WALLET,IN-STORE,2023-09-03
TXN_1224087,COFFEE,5,2.0,10.0,DIGITAL WALLET,TAKEAWAY,2023-03-20
TXN_1225638,CAKE,4,3.0,12.0,CASH,TAKEAWAY,2023-05-28
TXN_1227800,JUICE,3,3.0,9.0,CASH,TAKEAWAY,2023-02-19
TXN_1228888,COOKIE,1,1.0,1.0,CREDIT CARD,IN-STORE,2023-10-05
TXN_1229376,CAKE,3,3.0,9.0,DIGITAL WALLET,IN-STORE,2023-08-14
TXN_1231366,SANDWICH,3,4.0,12.0,DIGITAL WALLET,TAKEAWAY,2023-11-28
TXN_1231531,COFFEE,5,2.0,10.0,DIGITAL WALLET,IN-STORE,2023-07-24
TXN_1232346,SALAD,5,5.0,25.0,DIGITAL WALLET,IN-STORE,2023-01-04
TXN_1234390,CAKE,2,3.0,6.0,DIGITAL WALLET,TAKEAWAY,2023-06-02
TXN_1234907,JUICE,1,3.0,3.0,CREDIT CARD,IN-STORE,2023-05-02
TXN_1235828,TEA,4,1.5,6.0,CASH,TAKEAWAY,2023-02-19
TXN_1236759,COFFEE,1,2.0,2.0,CREDIT CARD,IN-STORE,2023-01-26
TXN_1240476,JUICE,2,3.0,6.0,DIGITAL WALLET,TAKEAWAY,2023-04-20
TXN_1244299,SANDWICH,2,4.0,8.0,CASH,TAKEAWAY,2023-07-18
TXN_1244509,SMOOTHIE,3,4.0,12.0,CREDIT CARD,IN-STORE,2023-02-21
TXN_1244739,SALAD,2,5.0,10.0,CREDIT CARD,TAKEAWAY,2023-09-13
TXN_1247244,SANDWICH,1,4.0,4.0,DIGITAL WALLET,IN-STORE,2023-12-27
TXN_1248266,SALAD,3,5.0,15.0,CREDIT CARD,IN-STORE,2023-10-14
TXN_1248436,CAKE,4,3.0,12.0,CREDIT CARD,TAKEAWAY,2023-08-14
TXN_1250407,COOKIE,1,1.0,1.0,CREDIT CARD,TAKEAWAY,2023-11-21
TXN_1252575,TEA,1,1.5,1.5,DIGITAL WALLET,TAKEAWAY,2023-10-16
TXN_1256513,COFFEE,4,2.0,8.0,CREDIT CARD,IN-STORE,2023-02-21
TXN_1260517,SMOOTHIE,5,4.0,20.0,DIGITAL WALLET,TAKEAWAY,2023-04-17
TXN_1268480,SALAD,5,5.0,25.0,CASH,IN-STORE,2023-04-18
TXN_1269252,CAKE,1,3.0,3.0,DIGITAL WALLET,TAKEAWAY,2023-07-18
TXN_1270603,JUICE,4,3.0,12.0,CREDIT CARD,TAKEAWAY,2023-12-03
TXN_1272118,COOKIE,4,1.0,4.0,CREDIT CARD,TAKEAWAY,2023-04-21
TXN_1278539,TEA,1,1.5,1.5,CREDIT CARD,TAKEAWAY,2023-04-04
TXN_1281536,SMOOTHIE,5,4.0,20.0,DIGITAL WALLET,IN-STORE,2023-03-19
TXN_1283149,SALAD,2,5.0,10.0,CREDIT CARD,IN-STORE,2023-01-23
TXN_1285279,COFFEE,2,2.0,4.0,CASH,TAKEAWAY,2023-04-09
TXN_1292430,SMOOTHIE,1,4.0,4.0,CREDIT CARD,TAKEAWAY,2023-03-09
TXN_1292476,JUICE,4,3.0,12.0,DIGITAL WALLET,TAKEAWAY,2023-09-07
TXN_1294101,TEA,5,1.5,7.5,DIGITAL WALLET,TAKEAWAY,2023-03-31
TXN_1307239,COFFEE,1,2.0,2.0,DIGITAL WALLET,TAKEAWAY,2023-10-26
TXN_1315214,TEA,2,1.5,3.0,DIGITAL WALLET,IN-STORE,2023-11-03
